半边晨光,女性美学指北，爆发你的女性力,0
汤家云野的那个汤,,-1
阿砾阿,设计师 摄影师 语言爱好者 半个rapper,-1
高tian,香港理工大学ITC 绍兴文理学院教师,1
禁区小怪兽,学生,-1
junyuTao,UofG在读学生,1
三新青年,情商为零的绝世天才,1
nocomments,PhD…,1
大能,多年以后,1
再见哈斯卡,你的字眼能否当手枪,1
匿名用户,,1
HHAANN,北京师范大学,-1
小妖蛇的饲养员,我信你个鬼 你这个糟老头子坏的很,-1
Samuel,easy come easy go,-1
芽枝蓬,有点闷,1
超酷的阿磊,,-1
一位好人,一位学生,-1
Jonas Green,华东脑组织病变儿童康乐中心资深会员,1
阳光下丶温暖bingo,,-1
知乎用户,,1
袁先生,,-1
Kujjj,学生,-1
list,化学狗/半个感情砖家,1
Thomas杨大炮,读过两年书。,1
小白SAMA,,1
幺蛾子,感谢知乎,1
阿布,光电测量技术研发,1
山丘那边,,1
匿名用户,,1
Fzzf24,,-1
硕哥不丰硕,93年的孤寡老人,-1
我心照明月,诗和酒,-1
Henry-航,"Don&#39;t say if, build something.",1
会说话的肘子,作者,-1
Llrro,,-1
梓茗,知乎小透明。,1
毛利武小郎,爱推理，健身跑步爱好者,-1
美哥,艺术人,-1
匿名用户,,1
难免世俗,生活像个野兽,-1
知乎用户,,1
刘剑锋,研究生,-1
释然李,,1
十九,难能可贵是处在电竞行业还可以三观超正,-1
老实的二狗子,三流画家,-1
匿名用户,,1
霍金,,1
匿名用户,,1
William G,,-1
付虹大鲨鱼,,1
冉染尘,deep learning,1
GameK,文艺的工科生，爱好孤独的星球，热爱生活与幻想,1
噜啦啦,,-1
邓小浪,,-1
钟文锋,曲率飞船驾驶员,-1
翻滚的小丸子,天才理科生啊哈哈哈哈哈,-1
旺财的小许,,1
匿名用户,,1
秦婳棠Greta Tsin,Geek/法语/拉丁语/潜水爱好者/红楼梦/头像本人/单身doge,0
凉极,淘宝夫妻店店主，淘宝搜索「不听茶」,1
恋爱情感套路,不会摄影的不会是一个好模特,0
知乎用户,,1
ParaHEllY,,-1
匿名用户,,1
啦啦啦啦啦啦,东北金城武,-1
楚国公子海,律师，微信/手机号：13928725026,1
你猜我想不想知道,小财务一枚,0
五一哥,20多年到头来，还在人海里浮沉。,1
像少年拉菲迟,可能是公元后259年最会弹棉花的老弱病残座,0
潘天天,人生不要受限，如果喜欢就尽情的去干,1
知乎用户,,1
ShawGwGwn,⎛⎝硬件搬砖 | Be Better~~ | 身有长物⎠⎞,1
Jacksonville,,-1
模特阿恒,一个模特,-1
很酷,主业:电商运营 副业:原油贸易（油贩子，手动狗头）,1
宏业,粉丝借钱请私信，还网贷钱问题请私信，民间讨债优秀工作者，讨债问题，如何讨债请付费,1
束苇,编导,-1
爱吃雪糕呀,立志成为大V的女人,0
JamPPP,我也好看,-1
一只鱼的传说,找我去公众号：一只鱼的传说,1
朋朋,想要接受教育的高级文盲,-1
介心,快消，服饰，家居产业互联网产品经理,1
尿科污医张大夫,尿科污医，不禁女色，可托孤不可托妻，救护车老司机，中华污学会名誉副主任委员,1
匿名用户,,1
小铃铛,,-1
小黄,单纯善良,1
在阳台吃泡面,人在日本，欢迎关注我的公众号：东瀛日记簿,1
凯迪,supper管理长,-1
匿名用户,,1
奔波儿灞,在感情面前，当你认真的时候，就已经输了,-1
刀哥,夏日午后的宁静，海风温柔的包裹,-1
沈一鸣,技能树点的有些乱 工业设计/Coder/图形学/摄影爱好者,1
villain,在没有光明的地方，黑暗也是一盏灯。,1
小鲨鱼威漫,长这么大，还没牵过男孩子的脚,0
摩艾君,短暂生命应该辉煌燃烧,1
Magical,爱好民谣的代码系学渣,-1
王无双,,1
拯救无知少女专员,我饮无需劝。,1
tsang kwrong,,-1
SherlockBeat,戒知乎。,1
ILLUMINATE,学习者/预备设计师,-1
杨晓楠,洛圣都建筑师,-1
Owenzjy,热爱音乐的城市民宿资深达人,-1
Mellow,,-1
杨黎居然,学生,0
不过就是你的心,,1
白白白白张,理财规划/伪足球篮球迷/音乐潮流各种,1
我的天使,,-1
鲨鱼辣椒,,1
匿名用户,,1
数学皇后,教授,-1
潜水专业户,资深潜水员,-1
Ken Zhao,非专业自有品牌砖家,1
匿名用户,,1
小明是学霸,动漫，游戏，背古诗,-1
laoerer8766,专业通屁员,1
阿杰,,-1
Frederick,金融学在读,1
匿名用户,,1
杨心烦,学生,-1
一杯小奶茶,养家糊狗！！！,-1
匿名用户,,1
荡漾,,-1
小灰,别和我抬杠，我什么都不懂，只懂懒得理你,-1
匿名用户,,1
SUNL,,-1
贱贱,Top3成就：知乎网黄，行走的负能量，科研泥石流,1
十木禾,轻饮食烹饪,1
深海月光,,1
王炎炎,公众号：王炎炎,-1
风中追不动风了,,-1
Terry,,-1
孙中阳,营销,-1
冷暖自知,,-1
漫漠,,1
冯宇航,,1
巴尔干之虎,荷兰&amp;中国&amp;混合恋人,-1
方纯洁,伪,1
金色耳朵,充满鲜花的世界到底在哪里。,1
苏景杭,路漫漫其修远兮，吾将上下而求索...,1
极繁至简,没有一技之长。,1
甜咖啡,在公众号「夏简言之」回复课领取免费写作课并加入写作圈,0
Healy,塔罗 神秘学,-1
书放,辞职飞行员，美国某通航飞行总监，岛国居民权持有者，《起落安妥》作者，伪科学爱好者,1
匿名用户,,1
吴彦祖,,-1
门外,,-1
我不喜欢你,,-1
匿名用户,,1
季季季tupac,任何杀不死我的 都让我更强大,-1
一大口球球,玩着学 不务正业,1
知乎用户,,1
山田君,日本特色旅游设计师 微信公众号：山田君,1
蓝不够用,生活不是舞台，梦想哪有这么容易照进现实,1
对就是我呀,上海牧瑟集团，法人，董事长，CEO。,0
核的嗓嗓嗓嗓嗓,只在知乎看段子,1
辛拉面,ME学生,-1
匿名用户,,1
相楽深行,,-1
辞語贤,在还不会化妆的年纪,0
乃如梦如幻,K12教培业,1
GA.AIN,,-1
会修图的男朋友,,-1
我有一头聪聪猪,,-1
Wannych,资深逗比多年,1
JohnRZ,,-1
张彦祖,,1
XuZining,,1
忘言,新金融学徒,1
匿名用户,,1
CANGSHU,,1
ssssean,,-1
啊GGG怪,,-1
一杯奶牛,望你珍摄，吻你万千!,-1
柏拉图de悲哀,音乐人，试听网易《惑之年》,1
匿名用户,,1
匿名用户,,1
妖兽大人,,-1
Epilogue,会点日语 特招蚊子 学生狗,1
展二,怒斥，怒斥光明的消逝。,-1
