正在获取歌曲There For You的第1页评论,总共有5772页115421条评论！
热门评论1: Jeswoolen : 戳爷Troye Sivan 联手 马丁Martin Garrix的新单「There For You」终于出炉啦！ 💜💜💜将近一个月的等待，终于等出你了！从Coachella的无预警露出到今发行，戳丁组合真是吊足了胃口！同时也祝戳爷男票Jacob生日快乐！🎂🎂🎂   点赞次数: 203988
热门评论2: LAOTION : 戳你丁丁组合正式上线[拜]🏻[拜]🏻[拜]🏻 虽然鸽子了粉丝这么久 虽然真爱粉已经唱的滚瓜烂熟 但我们依旧爱你们（介于戳爷你已经有了男朋友 那我就要马丁好了[幽灵][幽灵][幽灵]）   点赞次数: 141436
热门评论3: UK的耳机 : 早在这首歌现场表演之前，全世界除了戳爷和小马丁，还有一个人听过，那就是戳的男友Jacob😏于是现场的时候，场下10万观众里面，只有Jacob能跟着唱！这种秀恩爱我是服气的…在场的10万人里，只有他能跟他一起唱💙   点赞次数: 103969
热门评论4: welphenEDM : 这首歌距离在Coachella音乐节上首次播出已经一个多月了，今天终于来啦！小马丁Martin Garrix联手戳爷Troye Sivan新单"There for You"正式上线！两位都是在各自领域拥有超高人气的新生代艺人，非常看好他们的这次"年轻碰撞"，新歌必火！   点赞次数: 77079
热门评论5: HiBOOM_ : 我remix的小马丁和戳爷的新单 there for you 已发布。 准确来说未授权都是bootleg....   点赞次数: 52056
热门评论6: 怪怪怪怪怪怪怪怪怪妳阿 : 第一次听他歌的时候，声音就戳进我心底了，真的是戳爷[呲牙]。我的青春，我的热血都属于你。troye sivan❤️    点赞次数: 46459
热门评论7: 柳咏阿遛泳 : 戳爷这副细腻、磁性甚至可以说具有魔力的嗓音 配上很小马丁风格的电音 真是满足了大家无限的期待 仿佛夏日的维他柠檬茶一般激爽！其实 光是冲着二人的这两张美颜 这首歌就值得循环起来了吧[大笑]   点赞次数: 37043
热门评论8: Alvin艾尔文 : 来中国开演唱会吧戳戳！！！   点赞次数: 25839
热门评论9: 我不吃鱼肉 : 恭喜"小马戳"组合的新单出世!!好期待他们的下一次合作 也希望马丁不要弯不要弯不要弯啊哈哈哈哈哈哈[爱心][爱心][爱心][爱心]   点赞次数: 25264
热门评论10: 给你我的小熊啊 : 纪念我戳第一首要付费的歌   点赞次数: 21210
热门评论11: HiBOOM_ : 对于我最爱的小马丁和戳爷的新歌来说，除了尽快remix这首歌出来，我也没什么好讲的了，太好听了。[色]   点赞次数: 16658
热门评论12: 日暮温柔也 : 其实，这世界本没有什么同性恋、异性恋、双性恋、姐弟恋、师生恋、神马恋等等.——只是两个人相爱了，就这么简单。   点赞次数: 15739
热门评论13: 不知名的夏日熊 : 一拖再拖，终于上线了！Martin Garrix携手Troye Sivan第一次合作的单曲《There for You》上线啦[色]百大第一的小马丁Future Bass配上戳爷让人怀孕的嗓音真是夺人所爱[爱心]是时候来一场鸭子舞了[跳舞]   点赞次数: 13249
热门评论14: 长安十三春 : 马丁一点都没有进步，唉，每年都是老样子，这孩子一点长进都没有，都连续三年第一了   点赞次数: 12496
热门评论15: 我可真是个小机灵鬼www : 像戳爷这种眼睛里有星辰大海又帅又高又白成绩又好笑起来像个小孩子一样讨人喜欢声音明澈没有一点杂质让你想要小心翼翼得捧在手心上含在嘴里怕化了放在手里怕掉了想让他不受到外界一点儿刺激把他当做公主一样宠着每天亲亲抱抱举高高的男孩子。
这种男孩子是不会喜欢女生的。   点赞次数: 12410
