正在获取歌曲大鱼 - (动画电影《大鱼海棠》印象曲)的第1页评论,总共有9261页185206条评论！
热门评论1: 动不动就饿0 : 真的觉得中国人很奇怪！[撇嘴]对自己国家的文化没有任何自信  为什么好不容易中国有了不错的作品 国人就开始诋毁 说什么抄袭千与千寻，但是大鱼的故事 还有人物的背景 和千与千寻千差万别 而且都是中国自己的东西 客家土楼 山海经 凤凰 龙 还有逍遥游 这都是满满的中国风 ！   点赞次数: 637930
热门评论2: 我是阿南阿南 : “我记得他的样子，我不知道他的名字”   点赞次数: 300193
热门评论3: 水桥明日 : 我看日漫，但我不舔日，我看日漫是因为国漫没有吸引我的好作品，但出了优秀的国漫我就一定支持。我个人没办法理解无脑喷和跟风黑的人，在我心中，中华文化就是最深远意境的，就算现在社会越来越浮躁，也不能否认这一点。   点赞次数: 252360
热门评论4: 假如薛定谔没有猫 : 七月八日，赴你十二年之约。[爱心]   点赞次数: 161189
热门评论5: Misaki-美咲 : 从初中开始等大鱼海棠，现在，我准备高考了   点赞次数: 159489
热门评论6: Karma与少女 : 可以看出《大鱼·海棠》的创作基础是《山海经》和《庄子》逍遥游这个两部中华经典著作出现的时候，日本好像还不存在吧，与其说中国抄袭日本，不如说日本几乎把中国文化照搬，一些不了解中华文化的人居然还抨击是抄袭的，简直可笑，一个连自己国家都不信任支持的民族，我也是可悲啊   点赞次数: 110392
热门评论7: 帐号已注销 : 《大鱼海棠》 你说你欠鲲一条命，你得还清欠他的，却不知道你欠湫的，远不止一条命。 你说你要送鲲回家，他的妹妹还在等他，却不知道湫没有父母，天不怕地不怕，唯独怕你受苦。   点赞次数: 104155
热门评论8: 萌德不萌 : 周深和霍尊的声音都是给人空灵美好的感觉～[亲亲]   点赞次数: 82057
热门评论9: 景二三四 : 去年『大圣归来』，今年『大鱼海棠』，国漫一路走来，终于可以独树一帜，感谢一路不辜负[爱心]   点赞次数: 77205
热门评论10: 萌德不萌 : 大鱼海棠啊～！配上周深的声音真是绝配啊[亲亲]   点赞次数: 68170
热门评论11: 筱白玉霜 : 你如此苍白是不是 已倦于在空中攀登并凝望地面你倦于 孑然一生的漫游在 有不同身世的群星之间你盈缺无常像眼睛含着忧愁是因为 看不到什么值得凝眸吗   点赞次数: 46047
热门评论12: 傻傻傻傻傻了 : 自从第一次听到你的声音，就觉得你是一个独一无二的存在，不管外面的世界如何纷乱，你的声音总是能让浮躁的心得到慰籍。   点赞次数: 35768
热门评论13: 干了这碗衡水老白干 : 这歌，还真没抄……最开始也以为抄了，结果给学编曲的同学听立马被打脸了，再看看微博上嚷嚷得厉害的基本都没系统学过音乐，专门做音乐的都说没抄，so……大鱼团队的黑料太多就不做评价了，但是词曲作者和歌手是实实在在地付出，还是得尊重他们的劳动，安静听歌吧_(:з」∠)_   点赞次数: 33653
热门评论14: 当你走近 : 一听声音就知道是谁的歌手其中之一，好棒[钻石]   点赞次数: 25842
热门评论15: -我快要睡着了 : 北冥有鱼，其名为鲲，鲲之大，不知其具几千里也。南生海棠，其名椿，椿存梦，梦执鲲之翼，天涯海角。中有人，其名为湫，湫恋椿，原以身之血肉成其二人之眷属。世间比翼不易，且行且珍惜。从此之后，三千年为椿，三千年为湫，永不相见，以鲲为见，化为风雨，椿还鲲命，谁还湫情？   点赞次数: 21501
