正在获取歌曲蝴蝶泉边的第1页评论,总共有1343页26843条评论！
热门评论1: 我是天灰 : 这曲这么清新竟然不红我很心痛啊！！   点赞次数: 46773
热门评论2: Pati1900 : 第一次听这首歌是在爸爸打开的收音机里，那时我在阳光里睁开眼听到了第一句。七年过去了，大家变成自己喜欢的样子了吗[开心]   点赞次数: 24469
热门评论3: Clock-River : 啊…我原来老喜欢这首歌了…还YY我是什么古老民族的遗孤，拥有被封印的神秘力量，背负了拯救世界的使命，要去云南某个隐秘的蝴蝶泉村找到命中注定的姑娘，以她为灵媒解放封印才能打败boss，最后boss挂了，妹子也挂了，然后我自爆救了妹子，然后妹子的真爱让我活了下来但是失忆了，全剧终2333   点赞次数: 17638
热门评论4: 黑入问号脸 : 第二段结束后的间奏，编曲真是绝了！赞叹！   点赞次数: 12055
热门评论5: 帐号已注销 : 时间飞快，初中喜欢听的一首歌曲，现在都大学毕业这么久了。老了   点赞次数: 10605
热门评论6: 稚鱼 : 列车驶进云南高原时放起这首歌，灿烂阳光下，心都野了[开心]   点赞次数: 8610
热门评论7: 天忌二 : 歌手不怎么出名呐，不过这曲真的很棒！   点赞次数: 6564
热门评论8: 一个人住的第九年 : 小学听着觉得一般般，，如今大二重新遇到这首歌。觉得好清新。   点赞次数: 6205
热门评论9: Sia诗 : 小时候，和妈妈去蝴蝶泉那附近的外婆家，外婆带我去庙会得到很多好吃的糖，三月街可以买新衣服和很多很多好吃的东西，爷爷养了鱼鹰总吃不到自己捕的鱼，羡慕哥哥可以噗通跳进洱海游泳……现在难得会回去一趟，人事已非，却偶然发现爸爸现在很喜欢哼唱这首歌……想家   点赞次数: 5687
热门评论10: 青青苹果青 : 姥姥生前手机铃声[大笑]   点赞次数: 5256
热门评论11: 亚子Yah : 黄雅莉是我直系高中学姐！！！   我宁乡四中的骄傲！   你在少奇故里，少奇在你心中！！！！   点赞次数: 4381
热门评论12: 吾非音雄 : 初中班歌，满满的回忆，当年的同学又在哪～～   点赞次数: 3218
热门评论13: 三生幸存 : 自由的小鸟在歌唱，美丽的蝴蝶在飞舞，真人间仙景。   点赞次数: 2242
热门评论14: 学院南路炫酷狂拽屌 : 每天初三中午午休的广播！！   点赞次数: 2024
热门评论15: 又一个夏天607 : 人生中会有多少个想要时间静止的时候，那山那水那人 还有迎面吹来的春风和山上偶尔散落着的桃花 那个瞬间只想时光停止，好好感受那一份轻松与惬意。现在听这首歌，果然满满的画面感   点赞次数: 1914
