正在获取歌曲遇到 - (湘琴与直树之《邂逅》主题)的第1页评论,总共有3508页70149条评论！
热门评论1: 一只愚宝 : 湘琴好像永远都不知道我有多爱她—直树   点赞次数: 166759
热门评论2: 可爱到惊动党 : 依晨的订婚典礼上放了几首《恶作剧》的歌，想想就心酸……   点赞次数: 97333
热门评论3: 江一名 : 江同学，F班的袁湘琴要结婚啦！[哀伤]   点赞次数: 74450
热门评论4: 冷风吹进我的洞 : 台剧现在真是没落了...哎~想当年一部接一部的经典台剧陪伴了多少90后的青春啊~！   点赞次数: 74108
热门评论5: 小钕籽忆枚 : 袁湘琴喜欢了五年的江直树最后终于成为了江太太；柯景腾喜欢了八年追了三年的沈佳宜却没有在一起。很简单，袁湘琴都敢递上那封白痴到爆的表白信，然后轰轰烈烈穷追不舍。柯景腾沈佳宜却因为羞于开口，即使再相爱，但最终发现还是错过了。那些年我们错过的不是爱情，是勇气，，，，，，   点赞次数: 71101
热门评论6: imaxinlin : 后来我才明白,如果没有直树那样的颜,学他那么高冷在学校是根本追不到女生哈哈哈..[大哭]   点赞次数: 65523
热门评论7: 帐号已注销 : 江同学你好 我是F班的袁湘琴 我想你并不认识我 但是我对你却很了解喔 第一次在新生训练上看到你 那一天 我的眼光就不知道该怎么离开你 不管是致辞的你 还是和旁人聊天的你 还是落寞不说话的你 我总可以很快的在人群中找到你的位置 找到你在哪里 仿佛你在哪里 光就在哪里。是不是只有偶像剧里才有[流感]   点赞次数: 57051
热门评论8: 长渡 : “虽然我知道你讨厌笨蛋，但是也别太欺负我老婆了。”   点赞次数: 48974
热门评论9: Sherry是个小黑妞 : 从恶作剧之吻到我可能不会爱你，林依晨分明演出了我们这些普通女生的轨迹，从暗恋帅学霸的单纯学生妹长成脚踩7cm高跟健步如飞的轻熟女，愿岁月无可回头。   点赞次数: 36160
热门评论10: SHMIIILY : 祝笨蛋湘琴幸福   点赞次数: 34615
热门评论11: misooverr : 刚才在微博上看到非凡搭档的路透，po主说在换任务的时候小综跑错方向，依晨直接喊了一句 直树！！这边！！ 后面还问诶我怎么叫你直树了。看到这一条少女心瞬间炸裂。小学的时候天天追着华娱卫视看的恶作剧之吻好想再撸一遍。先回来听一遍歌   点赞次数: 30253
热门评论12: 飞翔的肥婆 : 之前有人问郑元畅，会不会有时忘了林依晨已经结婚了，郑元畅“我比任何人都清楚她已经结婚了”   点赞次数: 21222
热门评论13: 周周lalio : 只要你的肩膀愿让我靠。每次听这首歌的重点都是最后两个字。。。我靠[大哭][大哭][大哭]   点赞次数: 20469
热门评论14: Katy_Naying : 袁湘琴终于找到她的江直树了[流泪]我本来最看好的cp没有在一起[流泪]   点赞次数: 18766
热门评论15: lopamine : 袁湘琴结婚了，可是对象不是江直树，今天把电视看了，然后再听听歌。   点赞次数: 15877
