正在获取歌曲遇见的第1页评论,总共有11521页230406条评论！
热门评论1: Waii_ooO : 这歌我听了十年……好可怕的数字……   点赞次数: 395031
热门评论2: chinaqhy : 暗恋四年，表白，花了三个星期做视频，背景音乐就是遇见。十动然拒。今年是第六年，我们都要大学毕业了，她想回家乡去考公务员，她说不想在外面漂，但我不可能回去了。这辈子就这样了，应该是不可能了，我没有别的奢望，只希望她健康，幸福。[憨笑]   点赞次数: 258751
热门评论3: 桌上有颗糖 : 那天我约你跑步，可能也就我这种傻子才会约女生晨跑，一夜没睡，五点就在你家楼下站，你八点才下来，说睡过头了。我笑着说，没关系。   点赞次数: 253525
热门评论4: 逝去的旧时光QAQ : 1万评论，希望有2万人幸福[爱心]   点赞次数: 245575
热门评论5: 修远VicLeo : 从初中听到大学，总是在遇见，总是在离开   点赞次数: 127516
热门评论6: 古德奈特先生 : 校服是我和她唯一穿过的情侣装，毕业照是我和她唯一的合影，我们能遇见，却从没再见   点赞次数: 117999
热门评论7: 阳光橙妮 : “嘴上说着单身挺好，可是看到两个人，还是会沉默”   点赞次数: 112416
热门评论8: 晚上我们吃什么呢 : 我羡慕那些一听什么歌就能回忆起什么刻骨铭心，然后热泪盈眶的人。我没有什么轰轰烈烈的故事，导致我听一首歌回想起的都是“啊，这是前年大雪去吃烤鸭堵在路上听的歌，好饿啊。。”“啊，这是高中在那家麻辣香锅的店里循环放的歌，不知道还在不在，好饿啊。。。”   点赞次数: 82773
热门评论9: Deaconx : 每首歌里都藏着一段旧时光。   点赞次数: 55381
热门评论10: 不如不聚不散 : 今天下班有点晚，可地铁还是那么挤，在车尾无意看到一个满脸泪水的姑娘，她没有表情没有声音，但是眼泪一直在流，很想给她一个拥抱，我知道在这繁盛生命里的孤独，望你开心。   点赞次数: 51220
热门评论11: 夏洛不鸣 : 我排着队拿着爱的号码牌。可特么的为毛前面老有人插队[流泪]   点赞次数: 48870
热门评论12: 独自挥霍这斑驳了的青春170420 : “根据北宋哲学家邵雍的计算，世界上的事物将在十二万九千六百年后，完全重现。也就是说，在十二万九千六百年之后，我还会遇见你”   点赞次数: 38507
热门评论13: sorry-我是小秤子 : 高一的时候特别喜欢听，那时候一人在外读书，没什么事[憨笑]，可是每天都必须和妈妈哭半个小时才能写zuoye[呲牙][开心]   点赞次数: 37922
热门评论14: 帅绝非长久之计 : 这首怎么听都不会腻，好淡   点赞次数: 32709
热门评论15: 帐号已注销 : 不急不躁 谜底有一天总会解开 等的人 他在多远？   点赞次数: 23383
