正在获取歌曲演员的第1页评论,总共有13104页262061条评论！
热门评论1: Coco__W : 一个人能有多不正经，就能有多深情。   点赞次数: 414808
热门评论2: Rokio : 从来不管一个歌手到底红不红，热不热，只要你好好唱歌，好好做人，做一个歌者，不去什么圈插科打诨，卖弄风骚，阿谀奉承种种，爱你的人就喜欢你这样，我们要做的就是好好听你唱歌，仅此而已。   点赞次数: 208548
热门评论3: youth58 : 南有薛之谦，北有大张伟，他们都是被唱歌事业所耽误的青年相声演员   点赞次数: 160176
热门评论4: 神秘情敌 : 李荣浩给古巨基写了怪物，给薛之谦写了丑八怪，给自己写了模特。hhhhhhhhhhhh   点赞次数: 156337
热门评论5: 一人一城无虞 : 越來越走心了！其实感情最怕的就是拖着……好戳心[心碎]   点赞次数: 87282
热门评论6: YouTube热门推荐 : 薛之谦的创作越来越成熟了，好喜欢😍   点赞次数: 76403
热门评论7: 朵拉Z蒙 : 最心酸的话，薛之谦:听听我的新专辑吧，不要钱   点赞次数: 60944
热门评论8: 沐影冰熙 : 最近被薛之谦的《演员》沦陷了，每天追忆着单曲着各种薛之谦曾经的精品之作，也是我曾经的最爱～新歌榜第一的成绩是你努力用心呈现给我们好的作品的结果，我很开心，我想很多被你音乐打动的人也很开心，替你高兴，希望你好好做音乐，做你真正想做的事～十年不易～真心希望你有王子归来的结剧   点赞次数: 53806
热门评论9: 几米向左走向右走- : 终于上新了，先去看可MV，谦谦越来越帅了，依旧那么深情，看到这么多的人依然对他不离不弃感觉好欣慰，有时候看他微博里说自己不红就觉得好心疼。不过没关系，你只管好好唱，我们慢慢听[亲亲][亲亲]   点赞次数: 39306
热门评论10: 李阿神66 : 他开网店火锅店赚点钱做音乐，没团队帮宣传，上个节目自己也不宣传，新歌赚的钱捐了，他不求赚大钱，不炒作不投机取巧，唯一希望的是做的音乐被人认可。每次看到他在微博转发自己的新歌“大家听听嘛又不要钱”，调侃自己不红到哪都没人认识，他笑着说这些可看的人心疼...其实他的歌真的棒不是嘛   点赞次数: 32469
热门评论11: 晚晚难安 : 可以当初那么爱我干嘛演出细节 薛之谦   点赞次数: 29227
热门评论12: 何斌焘 : 红时不追，难时不黑，只赏其作，不问是非。   点赞次数: 19163
热门评论13: Energy_Movement : 我的这张ep，一定不要买，不差这点钱的。你们可以先听听看，好吧。不要钱的。[大哭][大哭]   点赞次数: 18807
热门评论14: 乌龟在流浪1 : 事实上，机场比婚礼现场见证了更多真挚的接吻，医院的墙壁比教堂聆听了更多的祷告   点赞次数: 18551
热门评论15: 高功能性反社会人格 : 那年，一个男孩在楼下捧着一束花吼着女同事的名字喊着那三个字，一群人都在阳台笑着，因为女孩对他并不感冒，都笑他傻，我也在笑，笑他，也笑自己，因为这种事我估计一辈子都不会去做。之后到角落抽了只烟，可手却开始颤抖，原来也会被感动，只是不想把这脆弱暴露，因为，太不体面。   点赞次数: 14791
